Id,Label,timeset,d0,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
금융,금융,,1115,0,75,1729,3,0.722581,0.825893,3107.612779,0.401261,0.401261,0.106305,0,0,0.073874,205,1
기술,기술,,828,0,50,952,3,0.625698,0.715774,1386.477317,0.339169,0.339169,0.064666,5,0,0.145306,178,0.836581
결제,결제,,778,0,41,640,4,0.580311,0.668899,1022.203796,0.283989,0.283989,0.055038,2,0,0.156098,128,0.70216
서비스,서비스,,776,0,33,667,3,0.551724,0.629464,594.095635,0.254123,0.254123,0.042359,0,0,0.204545,108,0.623221
시스템,시스템,,669,0,20,349,4,0.518519,0.572173,222.712371,0.200994,0.200994,0.025215,0,0,0.378947,72,0.492012
핀테크,핀테크,,587,0,20,361,3,0.513761,0.568452,64.986147,0.20094,0.20094,0.023881,0,0,0.394737,75,0.490268
활용,활용,,587,0,20,389,3,0.516129,0.56994,258.403197,0.184841,0.184841,0.025939,0,0,0.347368,66,0.453488
기관,기관,,572,0,17,332,4,0.504505,0.554315,58.812338,0.185098,0.185098,0.020558,0,0,0.470588,64,0.45225
블록체인,블록체인,,521,0,16,281,4,0.506787,0.552827,234.800405,0.154043,0.154043,0.020587,5,0,0.366667,44,0.379484
시장,시장,,545,0,11,171,4,0.484848,0.523065,5.919481,0.147478,0.147478,0.013271,0,0,0.709091,39,0.359751
제도,제도,,524,0,14,186,4,0.486957,0.534226,129.16075,0.138295,0.138295,0.017794,0,0,0.428571,39,0.341117
지급결제,지급결제,,392,0,11,154,4,0.486957,0.524554,14.236544,0.135529,0.135529,0.013489,0,0,0.654545,36,0.332637
거래,거래,,634,0,12,190,4,0.486957,0.528274,27.274312,0.1325,0.1325,0.01486,5,0,0.530303,35,0.327637
변화,변화,,463,0,11,171,4,0.472574,0.514137,9.878968,0.132,0.132,0.013231,0,0,0.618182,34,0.322322
기업,기업,,484,0,8,159,4,0.482759,0.512649,0,0.130513,0.130513,0.010056,0,0,1,28,0.318719
혁신,혁신,,446,0,9,152,4,0.484848,0.517113,6.387807,0.128235,0.128235,0.011184,0,0,0.694444,25,0.314733
은행,은행,,599,0,9,146,4,0.486957,0.518601,7.84697,0.122844,0.122844,0.01141,2,0,0.722222,26,0.302796
분야,분야,,445,0,8,174,3,0.486957,0.514881,3.778571,0.121872,0.121872,0.010244,0,0,0.892857,25,0.298954
산업,산업,,420,0,9,158,3,0.478632,0.511905,223.448413,0.11214,0.11214,0.012495,0,0,0.555556,20,0.27527
디지털,디지털,,459,0,10,188,4,0.484848,0.520089,66.361075,0.110805,0.110805,0.013326,2,0,0.533333,24,0.275247
정보,정보,,534,0,8,111,4,0.478632,0.509673,29.1,0.107524,0.107524,0.010946,5,0,0.642857,18,0.265458
대응,대응,,390,0,6,74,4,0.476596,0.502232,0,0.105937,0.105937,0.007957,0,0,1,15,0.259969
통화,통화,,501,0,11,194,4,0.480687,0.520833,160.338492,0.10294,0.10294,0.015254,2,0,0.436364,24,0.257583
규제,규제,,539,0,10,144,4,0.482759,0.519345,81.100397,0.099525,0.099525,0.013865,5,0,0.4,18,0.248682
경제,경제,,482,0,7,97,4,0.474576,0.50372,6.352381,0.098353,0.098353,0.009113,0,0,0.714286,15,0.242149
이용,이용,,516,0,9,121,4,0.476596,0.511905,54.645369,0.094307,0.094307,0.012044,5,0,0.5,18,0.235434
가능,가능,,530,0,7,121,4,0.460905,0.494048,1.719048,0.095161,0.095161,0.009124,5,0,0.809524,17,0.234154
본고,본고,,408,0,7,100,4,0.46473,0.49628,5.807937,0.094919,0.094919,0.009184,5,0,0.571429,12,0.233605
연구,연구,,448,0,7,86,4,0.470588,0.501488,14.864683,0.088246,0.088246,0.009592,0,0,0.666667,14,0.21905
환경,환경,,297,0,6,76,4,0.460905,0.490327,1.45,0.086669,0.086669,0.007942,0,0,0.8,12,0.21356
발전,발전,,331,0,5,88,4,0.459016,0.485863,0,0.085483,0.085483,0.006739,0,0,1,10,0.20929
제공,제공,,407,0,5,94,4,0.459016,0.485863,0,0.08294,0.08294,0.006877,0,0,1,10,0.203776
데이터,데이터,,415,0,6,106,4,0.46473,0.493304,37.234199,0.08221,0.08221,0.00844,0,0,0.666667,10,0.203009
비용,비용,,309,0,6,76,4,0.470588,0.498512,131.328571,0.080023,0.080023,0.009703,3,0,0.466667,7,0.198634
법,법,,412,0,6,82,4,0.453441,0.485119,1.583333,0.076743,0.076743,0.008035,5,0,0.733333,11,0.190509
비즈니스,비즈니스,,281,0,5,76,4,0.449799,0.479167,2.739683,0.075598,0.075598,0.006868,0,0,0.8,8,0.185812
효율,효율,,298,0,4,46,4,0.448,0.476935,0,0.068177,0.068177,0.005824,0,0,1,6,0.168128
검토,검토,,404,0,4,58,4,0.451613,0.477679,0.444444,0.064937,0.064937,0.005826,5,0,0.833333,5,0.160661
개발,개발,,264,0,3,42,4,0.455285,0.476935,0,0.063305,0.063305,0.004699,5,0,1,3,0.156526
고객,고객,,299,0,5,76,4,0.435798,0.469494,1.855556,0.061214,0.061214,0.00716,0,0,0.7,7,0.151227
중앙은행,중앙은행,,291,0,5,83,4,0.444444,0.477679,21.800938,0.058325,0.058325,0.007339,2,0,0.8,8,0.146693
정책,정책,,417,0,5,64,4,0.429119,0.464286,0.2,0.05699,0.05699,0.006819,0,0,0.9,9,0.141082
나라,나라,,320,0,3,39,4,0.442688,0.469494,0,0.056411,0.056411,0.004721,2,0,1,3,0.139658
경쟁,경쟁,,206,0,3,42,4,0.432432,0.460565,0,0.054507,0.054507,0.004615,0,0,1,3,0.134096
