Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
네이버,네이버,,169,35,17741,1,1,1,11.160347,0.20829,0.20829,0.035714,0,1,8,0.739496,440,1
디지털,디지털,,208,35,20207,1,1,1,11.160347,0.20829,0.20829,0.035714,0,3,1,0.739496,440,1
은행,은행,,314,35,22749,1,1,1,11.160347,0.20829,0.20829,0.035714,0,2,7,0.739496,440,1
지급결제,지급결제,,202,35,19963,1,1,1,11.160347,0.20829,0.20829,0.035714,0,3,5,0.739496,440,1
혁신,혁신,,125,34,11199,2,0.972222,0.985714,8.858077,0.205258,0.205258,0.034698,0,2,1,0.761141,427,0.98525
핀테크,핀테크,,152,33,15350,2,0.945946,0.971429,7.698024,0.20086,0.20086,0.033756,0,2,4,0.774621,409,0.964021
뉴스,뉴스,,106,31,11371,2,0.897436,0.942857,7.409105,0.188037,0.188037,0.032043,0,1,0,0.774194,360,0.902767
계획,계획,,55,32,6452,2,0.921053,0.957143,6.789629,0.196277,0.196277,0.032817,0,3,16,0.78629,390,0.942003
카드,카드,,219,32,20912,2,0.921053,0.957143,6.506595,0.196677,0.196677,0.032803,0,0,3,0.790323,392,0.943829
플랫폼,플랫폼,,123,31,13102,2,0.897436,0.942857,6.482014,0.190229,0.190229,0.031936,0,2,4,0.787097,366,0.912836
배포,배포,,129,30,13146,2,0.875,0.928571,6.258888,0.184625,0.184625,0.031064,0,1,15,0.793103,345,0.886232
신용,신용,,104,30,10899,2,0.875,0.928571,4.818383,0.187036,0.187036,0.030947,0,0,2,0.816092,355,0.897362
한국은행,한국은행,,68,25,7297,2,0.777778,0.857143,4.22381,0.153308,0.153308,0.026638,0,3,9,0.8,240,0.736264
페이,페이,,79,28,10028,2,0.833333,0.9,4.110061,0.175755,0.175755,0.029155,0,0,8,0.828042,313,0.843171
위원회,위원회,,79,27,7095,2,0.813953,0.885714,3.95077,0.168464,0.168464,0.028298,0,3,12,0.82906,291,0.808354
구독,구독,,80,27,10212,2,0.813953,0.885714,3.593273,0.170081,0.170081,0.028249,0,1,5,0.834758,293,0.81625
송금,송금,,53,23,6327,2,0.744681,0.828571,3.478138,0.143454,0.143454,0.024767,0,2,6,0.826087,209,0.688394
중국,중국,,52,24,5765,2,0.76087,0.842857,3.419017,0.150217,0.150217,0.025659,0,3,10,0.826087,228,0.721146
블록체인,블록체인,,93,24,7576,2,0.76087,0.842857,3.167357,0.148592,0.148592,0.025702,0,3,13,0.833333,230,0.713581
법,법,,55,24,4862,2,0.76087,0.842857,3.100739,0.149426,0.149426,0.025694,0,3,14,0.84058,232,0.717555
중앙은행,중앙은행,,51,22,7722,2,0.729167,0.814286,2.632597,0.133559,0.133559,0.023991,0,3,14,0.839827,194,0.641665
계좌,계좌,,81,25,8233,2,0.777778,0.857143,2.553678,0.157836,0.157836,0.026461,0,2,3,0.866667,260,0.757068
모바일,모바일,,79,26,10586,2,0.795455,0.871429,2.511312,0.165434,0.165434,0.027309,0,2,10,0.867692,282,0.79358
금융위,금융위,,66,25,7182,2,0.777778,0.857143,2.494687,0.159015,0.159015,0.026441,0,3,16,0.863333,259,0.763084
빅테크,빅테크,,53,23,7039,2,0.744681,0.828571,2.409731,0.144876,0.144876,0.024696,0,3,9,0.84585,214,0.695311
수수료,수수료,,91,26,11087,2,0.795455,0.871429,2.233155,0.166464,0.166464,0.027277,0,0,6,0.88,286,0.798375
글로벌,글로벌,,58,22,6383,2,0.729167,0.814286,1.919616,0.140454,0.140454,0.023808,0,3,13,0.878788,203,0.674219
온라인,온라인,,63,25,6628,2,0.777778,0.857143,1.768318,0.160726,0.160726,0.026379,0,0,15,0.896667,269,0.770822
카드사,카드사,,78,25,10177,2,0.777778,0.857143,1.652025,0.161192,0.161193,0.026362,0,0,2,0.9,270,0.773003
한은,한은,,59,22,6298,2,0.729167,0.814286,1.64409,0.13911,0.13911,0.023809,0,3,7,0.883117,204,0.66797
화폐,화폐,,53,20,8300,2,0.7,0.785714,1.382738,0.124649,0.124649,0.022104,0,3,0,0.884211,168,0.598771
대출,대출,,61,21,5681,2,0.714286,0.8,1.036817,0.136182,0.136182,0.022793,0,2,12,0.914286,192,0.653087
앱,앱,,50,21,6777,2,0.714286,0.8,0.762019,0.136565,0.136565,0.022787,0,2,11,0.938095,197,0.654831
개정안,개정안,,53,17,5387,2,0.660377,0.742857,0.612965,0.109674,0.109674,0.019277,0,3,9,0.919118,125,0.526488
비트코인,비트코인,,72,14,3920,2,0.625,0.7,0.522817,0.085924,0.085924,0.016732,0,3,14,0.901099,82,0.412958
가맹점,가맹점,,63,21,7843,2,0.714286,0.8,0.35817,0.140605,0.140605,0.022691,0,0,11,0.966667,203,0.674101
무단,무단,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전재,전재,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
저작권자,저작권자,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
발행,발행,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신한,신한,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전금법,전금법,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인하,인하,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이체,이체,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
암호화폐,암호화폐,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인터넷,인터넷,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신용카드,신용카드,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가상화폐,가상화폐,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
미디어,미디어,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
종합,종합,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
