,Topic,Words,Frequency,Timestamp
0,0,"payments, payment, paper, services, banks",29,2016.996
1,1,"fraud, security, policy, victims, chain",4,2016.996
2,-1,"lei, gdpr, correspondent, regulation, diligence",2,2017.8
3,0,"payments, payment, paper, banks, publications",27,2017.8
4,1,"fraud, detection, cent, rate, identity",2,2017.8
5,0,"payments, paper, payment, banks, cash",26,2018.8
6,1,"fraud, measures, security, prevention, availability",1,2018.8
7,0,"payment, paper, payments, banks, services",36,2019.8
8,1,"fraud, interventions, transactions, funds, paper",3,2019.8
9,0,"paper, payment, payments, banks, bank",33,2020.8
10,1,"fraud, losses, participants, liability, attacks",1,2020.8
