,Topic,Words,Frequency,Timestamp
0,-1,"금융, 은행, 화폐, 규제, 경쟁",5,2016.996
1,0,"지급결제, 금융, 제도, 결제, 변화",6,2016.996
2,-1,"금융, 핀테크, 결제, 서비스, 은행",9,2017.8
3,0,"지급결제, 제도, 정책, 결제, 금융",4,2017.8
4,1,"블록체인, 금융, 기술, 거래, 가능",3,2017.8
5,-1,"금융, 사이버, 기술, 서비스, 경제",6,2018.8
6,0,"금융, 결제, 시스템, 혁신, 변화",9,2018.8
7,1,"블록체인, 금융, 결제, 기술, 분야",3,2018.8
8,-1,"금융, 서비스, 결제, 무현금, 핀테크",7,2019.8
9,0,"금융, 지급결제, 은행, 기술, 암호화폐",9,2019.8
10,1,"블록체인, 기술, 금융, 암호화폐, 규제",6,2019.8
11,-1,"금융, 인공지능, 핀테크, 서비스, 디지털",10,2020.8
12,0,"금융, 발행, 시장, 결제, 시스템",7,2020.8
13,1,"블록체인, 기술, 거래, 가상자산, 금융",9,2020.8
