,Topic,Count,Name,Keywords
0,-1,3704,-1_금융_결제_은행_서비스,금융 결제 은행 서비스 핀테크 기업 카드 시장 디지털 사업
1,0,634,0_개정안_오전_국회_전금법,개정안 오전 국회 전금법 위원장 금융위 한은 법안 위원회 금융
2,1,341,1_비트코인_가격_달러_암호화폐,비트코인 가격 달러 암호화폐 가상화폐 코인 거래소 거래 가상자산 투자
3,2,261,2_블록체인_삼성_기술_개발,블록체인 삼성 기술 개발 기반 적용 플랫폼 사업 활용 기업
4,3,255,3_금융_사장_은행_디지털,금융 사장 은행 디지털 결제 고객 서비스 그룹 대표 감독
5,4,247,4_정책_금리_경제_총재,정책 금리 경제 총재 물가 통화 안정 상황 경기 한은
6,5,209,5_수수료_카드사_가맹점_카드,수수료 카드사 가맹점 카드 인하 비용 우대 영세 업계 신용카드
7,6,179,6_증가_대비_영업_수익,증가 대비 영업 수익 매출 온라인 밴사 분기 이익 감소
8,7,142,7_코로나19_감염증_코로나바이러스_신종,코로나19 감염증 코로나바이러스 신종 증가 확산 결제 대비 디지털 카드
9,8,115,8_카드_신한_고객_카드사,카드 신한 고객 카드사 국민카드 서비스 결제 플랫폼 마케팅 페이
10,9,97,9_데이터_마이데이터_정보_빅데이터,데이터 마이데이터 정보 빅데이터 쿠콘 개인 활용 분석 제공 금융
11,10,81,10_화폐_중앙은행_발행_디지털,화폐 중앙은행 발행 디지털 연구 현금 스웨덴 한은 한국은행 중국
12,11,72,11_결제_카드_서비스_가맹점,결제 카드 서비스 가맹점 페이 신한 카드사 코드 포인트 이용
13,12,61,12_가상화폐_거래소_실명_가상,가상화폐 거래소 실명 가상 가상계좌 계좌 통화 확인 거래 정부
14,13,57,13_핀테크_인도네시아_베트남_기업,핀테크 인도네시아 베트남 기업 진출 한국 글로벌 아세안 현지 지원
15,14,57,14_체크카드_카드_증가_편의점,체크카드 카드 증가 편의점 평균 신용 사용 하루 신용카드 상반기
16,15,50,15_오픈뱅킹_조회_은행_계좌,오픈뱅킹 조회 은행 계좌 이체 핀테크 오픈 서비스 출금 개방
17,16,41,16_카카오페이_카카오_상장_증권,카카오페이 카카오 상장 증권 공모가 청약 카카오뱅크 주가 연구원 물량
18,17,39,17_노브랜드_버거_이재용_한국은행,노브랜드 버거 이재용 한국은행 영상 명회 부회장 서울 윤종규 뉴스
19,18,39,18_협력사_기부_포스코_상생,협력사 기부 포스코 상생 대금 하도급 동반성장 플러스 지원 납품
20,19,37,19_p2p_핀테크_대출_퍼센트,p2p 핀테크 대출 퍼센트 업체 펀딩 투자자 투자 금융 상품
21,20,37,20_카드_카드사_업계_신한,카드 카드사 업계 신한 가맹점 서울 재단 영세 보증 위원장
22,21,37,21_휴대폰_결제_제로페이_다날,휴대폰 결제 제로페이 다날 세틀뱅크 청소년 모바일 페이 이용 서비스
23,22,36,22_금융_은행_서비스_산업,금융 은행 서비스 산업 디지털 플랫폼 핀테크 보험 모바일 기술
24,23,35,23_이용_금액_증가_지급,이용 금액 증가 지급 전자 건수 평균 하루 송금 분기
25,24,35,24_서비스_모바일_지갑_직불,서비스 모바일 지갑 직불 결제 계좌 페이 은행 수수료 금정
26,25,33,25_증권사_회장_운동장_자본,증권사 회장 운동장 자본 신탁업 법인 시장법 은행 허용 투자
27,26,33,26_증권사_투자_증권_업무,증권사 투자 증권 업무 허용 사모 겸영 주관 법인 지분
28,27,31,27_구글_게임_인앱_마켓,구글 게임 인앱 마켓 애플 수수료 구글플레이 결제 강제 개발사
29,28,31,28_금융_혁신_보호_세미나,금융 혁신 보호 세미나 솔루션 채널 보안 디지털 강연 위원장
30,29,31,29_리브_페이스북_스테이블_브라,리브 페이스북 스테이블 브라 디엠 암호화폐 코인 라가 화폐 발행
31,30,30,30_앞수표_수표_감소_발행,앞수표 수표 감소 발행 잔액 정액 지폐 현금 동전 수단
32,31,29,31_중국_알리바바_마윈_앤트,중국 알리바바 마윈 앤트 그룹 알리페이 홍콩 규제 성회 위안
33,32,29,32_송금_환전_해외_소액,송금 환전 해외 소액 외환 위탁 달러 외국환 택배 업자
34,33,29,33_모의실험_한은_발행_연구,모의실험 한은 발행 연구 실험 환경 중앙은행 기술 테스트 단계
35,34,28,34_페이_삼성_카카오페이_결제,페이 삼성 카카오페이 결제 오프라인 카드 사용 코드 스마트폰 현금
36,35,28,35_토스페이먼츠_코오롱_쇼핑몰_토스,토스페이먼츠 코오롱 쇼핑몰 토스 비바리퍼블리카 결제 서비스 가맹점 플러스 제공
37,36,27,36_혁신_지정_심사_금융,혁신 지정 심사 금융 규제 핀테크 지원 샌드박스 신청 서비스
38,37,27,37_빅테크_플랫폼_금융_규제,빅테크 플랫폼 금융 규제 마련 개선 금융위 방안 정보 허용
39,38,27,38_오픈뱅킹_은행_조회_계좌,오픈뱅킹 은행 조회 계좌 핀테크 이체 점검 이용 실시 서비스
40,39,27,39_투자_펀드_운용_미래에셋대우,투자 펀드 운용 미래에셋대우 인수 라임 암호화폐 투자자 핀테크 수익
41,40,26,40_캄보디아_역외_실시간_지급결제,캄보디아 역외 실시간 지급결제 스위프트 싱가포르 시스템 당사 현지 엔드
42,41,25,41_위안_디지털_중국_위안화,위안 디지털 중국 위안화 화폐 인민은행 국제 중앙은행 발행 베이징
