,Topic,Words,Frequency,Timestamp
0,-1,"은행, 금융, 서비스, 결제, 시장",581,2016-12-30 12:56:09.600
1,0,"회장, 오전, 국회, 금융, 위원장",72,2016-12-30 12:56:09.600
2,1,"비트코인, 가상화폐, 가격, 거래소, 달러",83,2016-12-30 12:56:09.600
3,2,"블록체인, 삼성, 기술, 물류, 개발",58,2016-12-30 12:56:09.600
4,3,"은행, 케이, 뱅크, 리눅스, 금융",36,2016-12-30 12:56:09.600
5,4,"정책, 금리, 통화, 물가, 총재",46,2016-12-30 12:56:09.600
6,5,"수수료, 카드, 카드사, 가맹점, 인하",30,2016-12-30 12:56:09.600
7,6,"증가, 온라인, 영업, 대비, 매출",20,2016-12-30 12:56:09.600
8,8,"카드, 신한, 카드사, 고객, 국민카드",32,2016-12-30 12:56:09.600
9,9,"데이터, 빅데이터, 분석, 정보, 평가",10,2016-12-30 12:56:09.600
10,10,"중앙은행, 화폐, 발행, 가상화폐, 디지털",2,2016-12-30 12:56:09.600
11,11,"결제, 카드, 가맹점, 서비스, 수수료",19,2016-12-30 12:56:09.600
12,12,"가상, 가상화폐, 통화, 거래소, 실명",24,2016-12-30 12:56:09.600
13,13,"핀테크, 가전, 기업, 태양광, 지원",5,2016-12-30 12:56:09.600
14,14,"체크카드, 카드, 신용카드, 하루, 증가",13,2016-12-30 12:56:09.600
15,15,"오픈, 농협은행, 오픈뱅킹, 신문, 핀테크",1,2016-12-30 12:56:09.600
16,16,"카카오, 카카오페이, 분사, 알리페이, 주가",3,2016-12-30 12:56:09.600
17,17,"영상, 수지, 제보, 사진, 공감",15,2016-12-30 12:56:09.600
18,18,"협력사, 납품, 대금, 조기, 지급",1,2016-12-30 12:56:09.600
19,19,"p2p, 핀테크, 펀딩, 대출, 업체",8,2016-12-30 12:56:09.600
20,20,"카드, 카드사, 현대, 업계, 위원장",10,2016-12-30 12:56:09.600
21,21,"밸런스, 충전, 롯데, 웨이브, 인도",5,2016-12-30 12:56:09.600
22,22,"금융, 산업, 서비스, 핀테크, 플랫폼",10,2016-12-30 12:56:09.600
23,23,"이용, 분기, 전자, 하루, 지급",10,2016-12-30 12:56:09.600
24,24,"송금, p2p, 서비스, 모바일, 은행",5,2016-12-30 12:56:09.600
25,25,"증권사, 회장, 운동장, 신탁업, 법인",29,2016-12-30 12:56:09.600
26,26,"증권사, 투자, 협회, 증권, 사모",9,2016-12-30 12:56:09.600
27,27,"에누리, 포인트, 적립, 적립금, 비교",1,2016-12-30 12:56:09.600
28,28,"솔루션, 채널, 장애, 엘라스틱, 세미나",5,2016-12-30 12:56:09.600
29,29,"방성훈, 페이스북, 송금, 도중, 기능",1,2016-12-30 12:56:09.600
30,30,"잔액, 발행, 지폐, 앞수표, 시중",5,2016-12-30 12:56:09.600
31,31,"중국, 알리바바, 성회, 광장, 충칭",4,2016-12-30 12:56:09.600
32,32,"송금, 해외, 소액, 외환, 외국환",7,2016-12-30 12:56:09.600
33,34,"페이, 삼성, 결제, 카카오페이, 오프라인",9,2016-12-30 12:56:09.600
34,35,"비앤비, 연훈, 페이, 결제, 애스턴",6,2016-12-30 12:56:09.600
35,38,"뱅크, 오픈뱅킹, 카카오뱅크, 케이, 서비스",3,2016-12-30 12:56:09.600
36,39,"펀드, 라임, 투자, 운용, 무역",5,2016-12-30 12:56:09.600
37,40,"엑센, 임성, 싱가포르, 코르다, 추어",1,2016-12-30 12:56:09.600
38,41,"페이스북, 메신저, 방성훈, 더치페이, 위안",1,2016-12-30 12:56:09.600
39,42,"트럼프, 대통령, 미국, 이란, 중국",7,2016-12-30 12:56:09.600
40,43,"더블케이, 벤처, 투자, 디퍼, 필름",1,2016-12-30 12:56:09.600
41,44,"직급, 채용, 모형, 경력, 전문가",2,2016-12-30 12:56:09.600
42,46,"롯데, 오픈마켓, 옴니, 모듈, 컬리",3,2016-12-30 12:56:09.600
43,47,"인테리어, 하도급, 결제, 대금, 수급",3,2016-12-30 12:56:09.600
44,48,"뱅크, 농협은행, 납부, 서비스, 강구",1,2016-12-30 12:56:09.600
45,49,"채용, 신입, 면접, 직원, 필기",7,2016-12-30 12:56:09.600
46,51,"이용, 분기, 건수, 금액, 하루",5,2016-12-30 12:56:09.600
47,52,"가상화폐, 일본, 비트코인, 인정, 화폐",12,2016-12-30 12:56:09.600
48,53,"은행장, 빅데이터, 총재, 협의회, 리스크",3,2016-12-30 12:56:09.600
49,54,"스위프트, 북한, 퇴출, 자금줄, 박승진",3,2016-12-30 12:56:09.600
50,56,"중앙은행, 가상화폐, 증인, 의원, 연준",2,2016-12-30 12:56:09.600
51,57,"아마존, 배송, 진출, 국내, 커머스",11,2016-12-30 12:56:09.600
52,58,"카드, 체크카드, 일평균, 이용, 신용카드",5,2016-12-30 12:56:09.600
53,59,"가상화폐, 화폐, 발행, 중앙은행, 비트코인",4,2016-12-30 12:56:09.600
54,62,"비자, 페이팔, 아태, 지역, 결제",1,2016-12-30 12:56:09.600
55,63,"매수, 의견, 유지, 센서스, 제시",3,2016-12-30 12:56:09.600
56,64,"대회, 클라우드, 인증, 크로스, 생체",1,2016-12-30 12:56:09.600
