Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,7.0,0.5158,"consumers, card, methods, cards, change, data, results, way, impact, instruments",change market domain payment regulation card cards support extent customer
1,9.0,0.4239,"market, industry, technology, innovation, benefits, role, developments, approach, economy, changes",technology services innovation revolution cash companies systems experience boundaries effort
2,9.0,0.4175,"market, industry, technology, innovation, benefits, role, developments, approach, economy, changes",technology security customer services transformation segmentation technologies transformations connectivity expectations
3,9.0,0.3929,"market, industry, technology, innovation, benefits, role, developments, approach, economy, changes",innovation layer industry paper hence levels transformation adoption framework investment
4,0.0,0.3517,"market, regulation, markets, number, requirements, issues, development, customer, authorities, management",payment authorities markets development policy multistakeholder digitalisation competition environment roles
5,9.0,0.2446,"market, industry, technology, innovation, benefits, role, developments, approach, economy, changes",payments market payment business industry realtime instruments money currency banking
6,6.0,0.5498,"value, service, countries, infrastructure, business, factors, model, providers, models, success",infrastructure success payments paper banks applications years p2p payment attention
7,9.0,0.4522,"market, industry, technology, innovation, benefits, role, developments, approach, economy, changes",changes payments situation government industry impact steps brexit change implementation
8,5.0,0.657,"fraud, data, security, parties, chain, transactions, india, policy, cost, prevention",fraud payment chain security policy prevention partnership cooperation system dutch
9,5.0,0.5784,"fraud, data, security, parties, chain, transactions, india, policy, cost, prevention",fraud victims factors staff trust policy address time gap customer
10,7.0,0.4343,"consumers, card, methods, cards, change, data, results, way, impact, instruments",payment methods markets things payments money prepaid apps providers service
11,3.0,0.3088,"cash, bank, use, transaction, transactions, access, time, companies, inclusion, trends",payment credit businesses systems criminals card use laundering methods practices
12,7.0,0.7275,"consumers, card, methods, cards, change, data, results, way, impact, instruments",payment consumers breach security ratings cards debit impact use perceptions
13,2.0,0.3798,"settlement, system, network, scheme, credit, realtime, level, transfer, funds, euro",payments system reserve role issues channel bank realtime sector failure
14,8.0,0.4667,"money, currencies, bank, currency, technologies, discussion, role, solution, cbdc, forms",bank money blockchain dlt cash market ledger solution technology secure
15,6.0,0.2945,"value, service, countries, infrastructure, business, factors, model, providers, models, success",adoption countries wallets wallet payments payment money cost providers service
