Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.7106,"정보, 고객, 변화, 기관, 기업, 상품, 비즈니스, 사용, 제공, 그룹",그룹 영향 사용 만족도 이용 이성 요인 분석 스마트폰 정보
1,8.0,0.7641,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",발행 전환사채 신주인수권 결과 유의 사채 기업 시장 부 부사
2,0.0,0.7141,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",인공지능 법 변화 인간 법인격 공존 부여 책임 시대 제도
3,7.0,0.3016,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 기술 방법 진보 시스템 변화 기능 시장 영향 계산
4,9.0,0.3859,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",회원권 골프 시장 효율 관리 활용 영향 가격 투자자 요인
5,7.0,0.5179,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",시장 공매도 거래 주식 개선 방식 기회 투명 참여 여대
6,9.0,0.5332,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",가상자산 세탁 자금 규제 방지 도입 논문 논의 발의 투자자
7,6.0,0.7352,"암호화폐, 법, 규제, 거래, 검토, 이용, 대장, 미국, 국제, 사법",거래 통화 이용 규제 가상 가상화폐 법 국제 적용 기술
8,9.0,0.4363,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",거래 가상자산 금융 시장 가상 통화 조치 실명 위원회 국제
9,9.0,0.4554,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",발생 법률 가능 법 귀속 거래 소유 쟁점 개념 입장
10,8.0,0.3285,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",통화 금융 국제 코인 스테이블 발행 시스템 정책 운영 페이스북
11,5.0,0.4114,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",블록체인 기술 암호화폐 연구 기관 기록 비트코인 가능 응용 존재
12,4.0,0.4925,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",데이터 금융 활용 중국 빅 핀테크 가능 세계 서비스 환경
13,7.0,0.4463,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 서비스 결제 핀테크 미국 기술 정보 필요 이용 시장
14,9.0,0.534,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",가상자산 중앙 한계점 거래소 성장 가능 문제점 연구 거래 소득
15,8.0,0.3833,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",통화 디지털 논점 가능 발행 검토 중앙은행 국제 이용 금융
16,9.0,0.4181,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",가상자산 규제 보호 정부 가능 현상 제기 존재 효과 자금
17,0.0,0.6163,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",인공지능 능력 인간 상행위 법인격 분야 활용 논의 생산 필요
18,9.0,0.2973,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",결제 대행업 전자지급결제 법령 범위 활성 구조 거래 시대 계약
19,9.0,0.4328,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",토큰 가능 달러 분야 시장 거래 대체 성장 확장 자산
20,5.0,0.5311,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",기술 블록체인 금융 비용 절감 분야 활용 가능 정보 블록
