Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.3314,"규제, 핀테크, 대출, 기업, 정보, 혁신, 계좌, 가능, 오픈뱅킹, 신용",서비스 금융 은행 P2P 페이 대출 모바일 결제 투자 블록체인
1,6.0,0.8025,"화폐, 디지털, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",디지털 화폐 중앙은행 발행 연구 추진 대비 기반 기술 거래
2,7.0,0.8494,"블록체인, 기술, 시스템, 정보, 기반, 개발, 기업, 사업, 거래, 활용",스위프트 기술 은행 제공 분산원장 지급결제 활용 금융 표준 사용
3,3.0,0.6486,"페이, 앱, 고객, 제공, 플랫폼, 모바일, 네이버, 사용, 업체, 이용",결제 카카오페이 서비스 시스템 카카오 가맹점 모바일 도입 자체 이용자
4,2.0,0.3525,"규제, 핀테크, 대출, 기업, 정보, 혁신, 계좌, 가능, 오픈뱅킹, 신용",모델 은행 서비스 제공 계좌 국내 금리 실장 수익 거래
5,4.0,0.6898,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",은행 산업 경제 서울 회장 시장 거래 기자 규제 모델
6,4.0,0.6976,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",은행 서비스 금융 모델 전자 수익 산업 신문 제공 채널
7,4.0,0.4036,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",은행 수익 금융 거래 자본 모델 채널 연구원 국내 지속
8,0.0,0.351,"투자, 기업, 시장, 중국, 사업, 한국, 성장, 증권, 국내, 미국",기업 경제 부도 대통령 한보 위기 상황 조선 세계 당시
9,3.0,0.8778,"페이, 앱, 고객, 제공, 플랫폼, 모바일, 네이버, 사용, 업체, 이용",페이 삼성 신세계 서비스 닷컴 결제 전자 신문 이용 고객
10,2.0,0.5213,"규제, 핀테크, 대출, 기업, 정보, 혁신, 계좌, 가능, 오픈뱅킹, 신용",금융 전자 연체 거래 대출 규율 법률 회사 법 발전
11,6.0,0.3863,"화폐, 디지털, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",은행 금융 모델 경제 실장 자산 정보 가능 고객 금리
12,6.0,0.3664,"화폐, 디지털, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",은행 모델 국내 금리 수익 가능 실장 금융 상승 지속
13,4.0,0.4575,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",금융 실장 모델 임 은행 수익 가능 발굴 시장 거래
14,4.0,0.4644,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",은행 수익 서비스 제공 거래 창출 시장 주장 계좌 대출
15,7.0,0.5128,"블록체인, 기술, 시스템, 정보, 기반, 개발, 기업, 사업, 거래, 활용",블록체인 은행 금융 기술 거래 송금 활용 서비스 규제 글로벌
16,4.0,0.6376,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",핀테크 규제 금융 샌드박스 중국 업체 서울 영국 경제 산업
17,6.0,0.4656,"화폐, 디지털, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",화폐 손상 디지털 지폐 이용 폐기 한은 지난해 사용 권
18,4.0,0.3619,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",금융 핀테크 대출 서비스 은행 송금 기업 분야 회사 기술
19,6.0,0.4457,"화폐, 디지털, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",위안 해외 중국 은행 위안화 송금 달러 강화 자본 규제
20,1.0,0.6099,"수수료, 카드사, 이용, 가맹점, 증가, 신용, 신용카드, 지급, 비용, 지난해",수수료 비용 카드사 결제 카드 정률제 밴사 기본 수익 입장
21,7.0,0.5313,"블록체인, 기술, 시스템, 정보, 기반, 개발, 기업, 사업, 거래, 활용",금융 뱅크 업무 망 시스템 공동 금융결제원 디지털 거래 개시
22,1.0,0.6795,"수수료, 카드사, 이용, 가맹점, 증가, 신용, 신용카드, 지급, 비용, 지난해",카드 사용 현금 가격 수수료 차별 물건 할인 가맹점 값
23,4.0,0.3964,"핀테크, 디지털, 산업, 기업, 혁신, 시장, 기술, 경제, 한국, 데이터",한국은행 금융 채용 지원자 지급결제 수단 디지털 경력 추진 화폐
24,1.0,0.8402,"수수료, 카드사, 이용, 가맹점, 증가, 신용, 신용카드, 지급, 비용, 지난해",카드 지급 카드사 소액결제 결제 가맹점 금액 수수료 껌 신용
25,1.0,0.4659,"수수료, 카드사, 이용, 가맹점, 증가, 신용, 신용카드, 지급, 비용, 지난해",현금 카드 결제금 액 일평균 결제 동전 디지털 지난해 블록체인
26,1.0,0.7479,"수수료, 카드사, 이용, 가맹점, 증가, 신용, 신용카드, 지급, 비용, 지난해",수표 상반기 사용 평균 앞수표 카드 지난해 하루 권 모바일
27,3.0,0.5847,"페이, 앱, 고객, 제공, 플랫폼, 모바일, 네이버, 사용, 업체, 이용",송금 은행 외화 서비스 모바일 금융 카드사 카드 플랫폼 경쟁
28,2.0,0.4203,"규제, 핀테크, 대출, 기업, 정보, 혁신, 계좌, 가능, 오픈뱅킹, 신용",금융 교육 기관 추진 신용 확대 서비스 협의회 연금 노후
29,0.0,0.3509,"투자, 기업, 시장, 중국, 사업, 한국, 성장, 증권, 국내, 미국",중국 미국 규제 트럼프 기업 대통령 완화 무역 일자리 정부
30,0.0,0.4493,"투자, 기업, 시장, 중국, 사업, 한국, 성장, 증권, 국내, 미국",결제 국내 알리페이 시장 서비스 카드 페이팔 업체 한국 진출
