topic number,label,keywords
0,비밀 번호 입력 편의점 입력 시 비밀 번호 입력 번호,이용 페이 모바일 사용 지급 증가 송금 전자 지난해 앱
1,외부 청산 의무 윤관석 민주당 의원 윤관석 전금법 발의,규제 금융위 개정안 거래 법 업무 빅테크 위원회 지급결제 기관
2,기자 기사 매경 기사 맞춤 자산 관리 서비스 개인정보보호법 신용정보법 정보통신망법 마이데이터 데이터 법 개인정보보호법 신용정보법 정보통신망법,핀테크 고객 플랫폼 기업 대출 디지털 정보 제공 혁신 데이터
3,국고 단순 매입 금리정책 완화 기조 유지 측면 물가 상승 압력 통화 정책 기조 유지,경제 정책 시장 안정 총재 금리 통화 한국은행 한은 코로나19
4,노동청 산업부 장관 국무회의 장관 국무회의 오전 시 서울 해수부 차관 차관회의 국무회의 오전 시 정부서울청사,오전 시 서울 지원 지역 오후 장관 기업 회의 후보
5,프라이즈 오라클 하이퍼 사물 포메이션,블록체인 기술 디지털 기업 시스템 산업 기반 개발 정보 활용
6,알트 코인마켓캡 증권거래위원회 채굴 베이스,비트코인 암호화폐 가상화폐 거래 코인 거래소 달러 가격 투자 가상자산
7,필터 인수 기사 네이버 메인 경제 간판 상장,투자 시장 기업 사업 국내 한국 중국 해외 성장 업체
8,쑤저우 베이징 동계 올림픽 패권 제롬 중앙은행 발행 디지털 화폐,화폐 디지털 중앙은행 발행 중국 현금 연구 통화 미국 국가
9,영세가맹점 여신전문금융업법 영세 적격 비용 산정 연매출,수수료 카드사 가맹점 비용 업계 시장 수익 사업자 신용카드 제로페이
