Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.4523,"시스템, 시장, 필요, 혁신, 경제, 제공, 영향, 중요, 정보, 효율",은행 금융 시스템 거래 필요 경제 기능 투자 펀드 제도
1,9.0,0.3117,"거래, 검토, 가상화폐, 이용, 법, 대장, 적용, 규제, 국제, 법률",규제 법률 실행 가상화폐 일본 법 비트코인 거래 법화 지속
2,2.0,0.2805,"시스템, 시장, 필요, 혁신, 경제, 제공, 영향, 중요, 정보, 효율",금융 서비스 변화 제공 환경 기관 가능 정보 이용자 사업
3,2.0,0.368,"시스템, 시장, 필요, 혁신, 경제, 제공, 영향, 중요, 정보, 효율",화폐 규제 경쟁 은행 제도 정비 시스템 관점 보급 경제
4,6.0,0.3933,"고객, 정보, 상품, 그룹, 사용, 방식, 은행, 스마트폰, 진보, 영향",정보 공학 보안 조작 심리 실수 사용 공격 인간 용어
5,2.0,0.4194,"시스템, 시장, 필요, 혁신, 경제, 제공, 영향, 중요, 정보, 효율",효율 모형 지급결제 시스템 금융망 연구 결제 필요 수준 분석
6,2.0,0.4298,"시스템, 시장, 필요, 혁신, 경제, 제공, 영향, 중요, 정보, 효율",개념 결제 시스템 완료 지급결제 완결 논의 나라 금융 중요
7,8.0,0.3827,"지급결제, 분석, 연구, 제도, 카드, 변화, 정책, 지급, 효과, 제시",결제 지급결제 시장 기술 후생 비용 폰 변화 가맹점 서비스
8,8.0,0.7605,"지급결제, 분석, 연구, 제도, 카드, 변화, 정책, 지급, 효과, 제시",제도 지급결제 경로 변화 분석 해당 진화 형태 과정 겹
9,8.0,0.4326,"지급결제, 분석, 연구, 제도, 카드, 변화, 정책, 지급, 효과, 제시",분산원장 기술 금융 효과 시장 편익 자본 검토 분석 적용
10,1.0,0.4546,"활용, 기관, 산업, 변화, 기업, 데이터, 인공지능, 비즈니스, 분야, 발전",금융 서비스 핀테크 기술 산업 기관 지원 스타일 전통 활용
11,5.0,0.3743,"통화, 디지털, 발행, 중앙은행, 국제, 사용, 각국, 확인, 운영, 증권",통화 가상화폐 법정 필요 디지털 변화 현재 국제 발행 가능
12,8.0,0.6194,"지급결제, 분석, 연구, 제도, 카드, 변화, 정책, 지급, 효과, 제시",연구 지급결제 제도 기술 정책 분석 서비스 필요 분야 중요
