Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,9.0,0.3528,"핀테크, 대출, 정보, 계좌, 규제, 기업, 제공, 고객, 가능, 신용",서비스 금융 은행 P2P 페이 대출 모바일 결제 투자 블록체인
1,4.0,0.7349,"디지털, 화폐, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",디지털 화폐 중앙은행 발행 연구 추진 대비 기반 기술 거래
2,8.0,0.7882,"블록체인, 기술, 시스템, 사업, 기반, 플랫폼, 개발, 제공, 정보, 기업",스위프트 기술 은행 제공 분산원장 지급결제 활용 금융 표준 사용
3,8.0,0.3429,"블록체인, 기술, 시스템, 사업, 기반, 플랫폼, 개발, 제공, 정보, 기업",결제 카카오페이 서비스 시스템 카카오 가맹점 모바일 도입 자체 이용자
4,9.0,0.3317,"핀테크, 대출, 정보, 계좌, 규제, 기업, 제공, 고객, 가능, 신용",모델 은행 서비스 제공 계좌 국내 금리 실장 수익 거래
5,6.0,0.6483,"핀테크, 디지털, 산업, 기업, 혁신, 기술, 시장, 경제, 한국, 분야",은행 산업 경제 서울 회장 시장 거래 기자 규제 모델
6,6.0,0.6213,"핀테크, 디지털, 산업, 기업, 혁신, 기술, 시장, 경제, 한국, 분야",은행 서비스 금융 모델 전자 수익 산업 신문 제공 채널
7,6.0,0.42,"핀테크, 디지털, 산업, 기업, 혁신, 기술, 시장, 경제, 한국, 분야",은행 수익 금융 거래 자본 모델 채널 연구원 국내 지속
8,5.0,0.2542,"투자, 시장, 기업, 사업, 중국, 국내, 네이버, 증권, 성장, 한국",기업 경제 부도 대통령 한보 위기 상황 조선 세계 당시
9,3.0,0.5806,"이용, 페이, 모바일, 사용, 증가, 지급, 현금, 앱, 전자, 지난해",페이 삼성 신세계 서비스 닷컴 결제 전자 신문 이용 고객
10,9.0,0.6043,"핀테크, 대출, 정보, 계좌, 규제, 기업, 제공, 고객, 가능, 신용",금융 전자 연체 거래 대출 규율 법률 회사 법 발전
11,4.0,0.3908,"디지털, 화폐, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",은행 금융 모델 경제 실장 자산 정보 가능 고객 금리
12,4.0,0.5317,"디지털, 화폐, 중앙은행, 경제, 통화, 발행, 정책, 한국은행, 한은, 연구",은행 모델 국내 금리 수익 가능 실장 금융 상승 지속
