topic number,label,keywords
0,영세가맹점 여신전문금융업법 적격 비용 산정 중소가맹점 연매출,수수료 카드사 가맹점 비용 업계 시장 수익 신용카드 제로페이 사업자
1,알트 증권거래위원회 채굴 코인마켓캡 나카모토,비트코인 암호화폐 가상화폐 거래 코인 달러 거래소 가격 투자 미국
2,윤관석 민주당 의원 윤관석 밥그릇 외부 청산 의무 전자 지급 거래 청산,개정안 규제 금융위 빅테크 거래 법 국회 지급결제 전금법 위원장
3,비밀 번호 입력 편의점 시 비밀 번호 입력 선불카드 체크카드,이용 페이 모바일 사용 증가 지급 현금 앱 전자 지난해
4,가상 환경 파일럿 시스템 구축 환경 파일럿 시스템 구축 가상 환경 파일럿 시스템 국고 단순 매입 연준,디지털 화폐 중앙은행 경제 통화 발행 정책 한국은행 한은 연구
5,기사 네이버 메인 경제 인수 간판 증권가 필터,투자 시장 기업 사업 중국 국내 네이버 증권 성장 한국
6,인공지능 혁명 융합 인재 창의,핀테크 디지털 산업 기업 혁신 기술 시장 경제 한국 분야
7,장관 국무회의 오전 시 서울 해수부 차관 차관회의 노동청 장관 국무회의 오전 장관 국무회의 오전 시,오전 시 서울 지원 지역 장관 오후 회의 경제 기업
8,오라클 하이퍼 프라이즈 리눅스 소스,블록체인 기술 시스템 사업 기반 플랫폼 개발 제공 정보 기업
9,신용정보법 중과실 별첨 이동권 혁신 기획 단장,핀테크 대출 정보 계좌 규제 기업 제공 고객 가능 신용
